ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-25-005913	198220		028-16678			Anson Funds Management LP
0000950123-25-005888	198221		028-17796			EnCap Energy Capital Fund VIII, L.P.
0000950123-25-005888	198224		028-21320			EnCap Energy Capital Fund XI, L.P.
0000950123-25-005888	198222		028-17797			EnCap Energy Capital Fund IX, L.P.
0000950123-25-005888	198223		028-20244			EnCap Energy Capital Fund X, L.P.
0001456421-25-000009	198219		28-13438			Apollo Management Holdings, L.P.
0002055506-25-000005	198218	0001691919	028-20577	000171484	802-80046	Symmetry Investments LP
0001397424-25-000005	198210	0001397424	028-12525	000106336	801-22873	WBI INVESTMENTS, LLC
0001172661-25-002426	198211	0001276525	028-10830	000119786	801-61049	DIKER MANAGEMENT LLC
0000950123-25-005852	198208		028-12863			Spinnaker Capital Limited
0001415889-25-013953	198209	0002065606		000163168	802-75466	Notable Capital Management, L.L.C.
0001135428-25-000021	198207	0000721204	028-01190			RUSSELL FRANK CO/
0001954109-25-000005	198206	0001592828	028-17729	000171412	801-79835	Empowered Funds, LLC
0001172661-25-002416	197572	0001848433	028-21108	000156549	801-72171	Coppell Advisory Solutions LLC
0001172661-25-002416	197573	0001551727	028-14993	000149621	801-71500	MACROVIEW INVESTMENT MANAGEMENT LLC
0001172661-25-002416	197574	0001843358	028-20742	000298195	801-118093	Mach-1 Financial Group, LLC
0000950123-25-005812	198123		028-03059		801-28257	JACOBS LEVY EQUITY MANAGEMENT, INC.
0000950123-25-005812	198110				801-131405	AVIVA INVESTORS CANADA, INC.
0000950123-25-005812	198111		028-11937		801-21011	J.P. MORGAN INVESTMENT MANAGEMENT, INC.
0000950123-25-005812	198112		028-05792		801-24241	KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC
0000950123-25-005812	198113		028-10229		801-60934	LOS ANGELES CAPITAL MANAGEMENT AND EQUITY RESEARCH, INC.
0000950123-25-005812	198114		028-11450		801-37702	MONDRIAN INVESTMENT PARTNERS LIMITED
0000950123-25-005812	198115		028-17085		801-61751	NEUBERGER BERMAN INVESTMENT ADVISERS LLC
0000950123-25-005812	198116		028-13982		801-38965	NOMURA CORPORATE RESEARCH AND ASSET MANAGEMENT INC.
0000950123-25-005812	198117		028-12690		801-80724	PCJ INVESTMENT COUNSEL LTD
0000950123-25-005812	198118		028-10952		801-48187	PACIFIC INVESTMENT MANAGEMENT COMPANY LLC
0000950123-25-005812	198119		028-05655		801-57432	RIVERBRIDGE PARTNERS, LLC
0000950123-25-005812	198120		028-01911		801-7571	ROBERT W. BAIRD & CO. INCORPORATED (CHAUTAUQUA CAPITAL MANAGEMENT, LLC)
0000950123-25-005812	198121		028-17022		801-688	WILLIAM BLAIR & COMPANY L.L.C.
0000950123-25-005812	198122		028-17689		801-77815	KETTLE HILL CAPITAL MANAGEMENT, LLC
0000950123-25-005812	198140		028-20335		801-72206	FULCRUM ASSET MANAGEMENT LLP
0000950123-25-005812	198124		028-04413		801-21122	ALLSPRING GLOBAL INVESTMENTS
0000950123-25-005812	198125		028-21789		801-69964	INSIGHT NORTH AMERICA
0000950123-25-005812	198126		028-11166		801-29688	CALAMOS ADVISORS LLC
0000950123-25-005812	198127		028-19400		801-77698	RWC ASSET ADVISORS (US) LLC
0000950123-25-005812	198128		028-10469		801-61701	LAZARD ASSET MANAGEMENT LLC
0000950123-25-005812	198129		028-02682		801-108902	MAGNETAR ASSET MANAGEMENT, LLC
0000950123-25-005812	198130		028-15430		801-77018	ARGA INVESTMENT MANAGEMENT LP
0000950123-25-005812	198131		028-16899		801-15908	WELLINGTON MANAGEMENT CO.
0000950123-25-005812	198132		028-04968		801-27864	MASSACHUSETTS FINANCIAL SERVICES CO.
0000950123-25-005812	198133		028-13578		801-70101	ARTISAN PARTNERS LIMITED PARTNERSHIP
0000950123-25-005812	198134		028-17876		801-107734	GQG PARTNERS LLC
0000950123-25-005812	198135		028-03687		801-15180	POLEN CAPITAL MANAGEMENT LLC
0000950123-25-005812	198136		028-00408		801-60256	BROWN BROTHERS HARRIMAN & CO.
0000950123-25-005812	198137		028-16049		801-79375	ELECTRON CAPITAL PARTNERS
0000950123-25-005812	198138		028-10068		801-60512	HOTCHKIS & WILEY CAPITAL MANAGEMENT
0000950123-25-005812	198139		028-06354		801-46878	VICTORY CAPITAL MANAGEMENT
0001085146-25-003365	197860	0001165002	028-15581			WESTWOOD HOLDINGS GROUP INC
0001905128-25-000004	197784		028-07104			WCM
0001905128-25-000004	197783		028-03459			Smith Group
0001905128-25-000004	197782		028-01185			Frontier
0001905128-25-000004	197781		028-02204			Brandywine
0001905128-25-000004	197780		028-10562			AllianceBernstein
0002056532-25-000004	198005					SEI INVESTMENTS CO
0000950123-25-005806	197976		028-16612			UBS Group AG
0001104659-25-049879	197809	0001219573	028-14097			SINGAPORE TECHNOLOGIES TELEMEDIA PTE LTD
0001085146-25-003364	197616	0001761755	028-19141	000288576	801-110591	TOWNSQUARE CAPITAL LLC
0001455468-25-000002	197524		028-02462			Dean Investment Associates, LLC
0000950123-25-005790	197805		028-05810			UNITED SERVICES AUTOMOBILE ASSOCIATION
0001062993-25-009577	197907	0001006364	028-05210	000112500	801-23854	Hardman Johnston Global Advisors LLC
0001062993-25-009577	197908	0001410833	028-12639	000106030	801-45362	Night Owl Capital Management, LLC
0001062993-25-009577	197909	0001538449	028-14623	000159100	801-74336	Mawer Investment Management Ltd.
0001062993-25-009577	197910	0001765768	028-19119			Galibier Capital Management Ltd.
0001062993-25-009577	197911	0001063497	028-15085	000155405	801-72181	Pembroke Management, LTD
0001207017-25-000048	197953	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0000950123-25-005786	197472		028-13925			Meiji Yasuda Asset Management Co Ltd.
0000950123-25-005793	197549		028-05810			UNITED SERVICES AUTOMOBILE ASSOCIATION
0000950123-25-005795	197611		028-05810			UNITED SERVICES AUTOMOBILE ASSOCIATION
0001811480-25-000003	197613	0001079935	028-15248			SIGNATURE ESTATE & INVESTMENT ADVISORS LLC
0001082045-25-000004	197612	0000003520	028-00869	000106750	801-6709	FRED ALGER MANAGEMENT, LLC
0001207017-25-000047	198023	0001692234	028-17598			Russell Investments Group, Ltd.
0001140361-25-019343	198149	0001080818	028-04371			ENTRUST GLOBAL PARTNERS L L C
0001966440-25-000003	198041	0000354204	028-01186	000106482	801-16283	DIMENSIONAL FUND ADVISORS LP
0001966440-25-000003	198051	0000940755	028-14777			J O HAMBRO CAPITAL MANAGEMENT LTD
0001966440-25-000003	198050		028-28233			VINVA INVESTMENT MANAGEMENT LIMITED
0001966440-25-000003	198049	0000861177	028-02682	000106838	801-34910	UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC
0001966440-25-000003	198048	0001086619	028-04731			SCHRODER INVESTMENT MANAGEMENT GROUP
0001966440-25-000003	198036	0001167557	028-10120	000111883	801-55543	AQR CAPITAL MANAGEMENT LLC
0001966440-25-000003	198037	0001109448	028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001966440-25-000003	198038	0000052388	028-01091	000105778	801-8174	AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001966440-25-000003	198039	0001164508	028-10005	000111209	801-56633	ARROWSTREET CAPITAL, LIMITED PARTNERSHIP
0001966440-25-000003	198040	0001421306	028-12820	000144078	801-69965	BRIGADE CAPITAL MANAGEMENT, LP
0001966440-25-000003	198042	0001697233	028-17876	000283720	801-107734	GQG Partners LLC
0001966440-25-000003	198043	0001086318	028-04211	000119232	801-60987	INTECH INVESTMENT MANAGEMENT LLC
0001966440-25-000003	198044	0001274173	028-10904			JANUS HENDERSON GROUP PLC
0001966440-25-000003	198045	0001207017	028-10469	000122836	801-61701	LAZARD ASSET MANAGEMENT LLC
0001966440-25-000003	198046	0001418333	028-13120			MACQUARIE GROUP LTD
0001966440-25-000003	198047	0001491998	028-16966			Ninety One SA (PTY) Ltd
0000950123-25-005770	197897		028-13114			Blackstone Inc
0000950123-25-005768	197761		028-13114			Blackstone Inc
0000950123-25-005769	197624		028-2813114			Blackstone Inc
0000950123-25-005766	198183		28-13114			Blackstone Inc
0000950123-25-005767	197636		028-2813114			Blackstone Inc
0000950123-25-005764	198143		028-2813114			Blackstone Inc
0000950123-25-005763	198188		028-13114			Blackstone Inc
0000950123-25-005765	197542		028-2813114			Blackstone Inc
0000950123-25-005762	198184		028-2813114			Blackstone Inc
0000895345-25-000174	197748		028-22361			Wealthsimple Inc.
0000895345-25-000174	197749		028-22607			Grayhawk Investment Strategies Inc.
0001345471-25-000017	197614	0001345471	028-12039	000154172	801-71968	TRIAN FUND MANAGEMENT, L.P.
0001345471-25-000016	197924	0001345471	028-12039	000154172	801-71968	TRIAN FUND MANAGEMENT, L.P.
0001345471-25-000015	198003	0001345471	028-12039	000154172	801-71968	TRIAN FUND MANAGEMENT, L.P.
0000921895-25-001558	197852	0001334429	028-15403	000115197	801-78141	BIGLARI CAPITAL CORP.
0000921895-25-001557	197756	0001334429	028-15403	000115197	801-78141	BIGLARI CAPITAL CORP.
0000921895-25-001556	197804	0001334429	028-15403	000115197	801-78141	BIGLARI CAPITAL CORP.
0001012975-25-000258	197760	0001319998	028-11745	000161754	801-74264	Southpoint Capital Advisors LP
0001012975-25-000257	197562	0001319998	028-11745	000161754	801-74264	Southpoint Capital Advisors LP
0001012975-25-000256	197473	0001319998	028-11745	000161754	801-74264	Southpoint Capital Advisors LP
0000947871-25-000538	197862	0002012090	028-23942			Unisphere Establishment
0000947871-25-000537	198168	0002012090	028-23942			Unisphere Establishment
0001104659-25-049550	197954	0001259313	028-12990	000130074	801-63800	ARES MANAGEMENT LLC
0001012975-25-000255	197744	0001319998	028-11745	000161754	801-74264	Southpoint Capital Advisors LP
0000947871-25-000536	197813	0002012090	028-23942			Unisphere Establishment
0001104659-25-049548	198025	0001259313	028-12990	000130074	801-63800	ARES MANAGEMENT LLC
0000947871-25-000535	197708	0002012090	028-23942			Unisphere Establishment
0001104659-25-049545	197590	0001259313	028-12990	000130074	801-63800	ARES MANAGEMENT LLC
0001104659-25-049541	197622	0001259313	028-12990	000130074	801-63800	ARES MANAGEMENT LLC
0001013594-25-000681	197792		028-20282	000307151	801-119969	Elliott Investment Management L.P.
0000919574-25-003261	197629	0001317588	028-11161	000137183	801-65657	ABRAMS BISON INVESTMENTS, LLC
0000919574-25-003260	197707	0001358253	028-11896	000138306	801-65608	TIG Advisors, LLC
0001013594-25-000680	198099		028-20282	000307151	801-119969	Elliott Investment Management L.P.
0000919574-25-003259	197947	0001358253	028-11896	000138306	801-65608	TIG Advisors, LLC
0001012975-25-000253	197772	0001512397	028-14346	000157483	801-73337	Knighthead Capital Management, LLC
0001543170-25-000005	197948	0001543170	028-16511	000163427	801-80025	Spruce House Investment Management LLC
0001633870-25-000002	197936	0001856405	028-21820	000291738	801-112410	SONA ASSET MANAGEMENT (US) LLC
0001012975-25-000252	197920	0001512397	028-14346	000157483	801-73337	Knighthead Capital Management, LLC
0000902664-25-002429	197973	0001622346	028-16701			SHANDA ASSET MANAGEMENT HOLDINGS Ltd
0001085146-25-003346	197968	0001637460	028-18778			Man Group plc
0001085146-25-003345	197770	0001903880	028-21624	000116091	801-61445	JACKSON THORNTON WEALTH MANAGEMENT, LLC
0001085146-25-003345	197769	0001927705	028-22928	000282312	801-118278	Delap Wealth Advisory, LLC
0001085146-25-003345	197771	0001964068	028-22786	000313110	801-122267	Allegiance Financial Group Advisory Services LLC
0000902664-25-002427	197496	0001622346	028-16701			SHANDA ASSET MANAGEMENT HOLDINGS Ltd
0001178913-25-001829	197905	0001603837	028-16590			Ion Asset Management Ltd.
0001012975-25-000251	198058	0001512397	028-14346	000157483	801-73337	Knighthead Capital Management, LLC
0000902664-25-002425	197483	0001762304	028-19395	000166112	802-128070	HHLR ADVISORS, LTD.
0001633870-25-000001	197529	0001103882	028-05431			Paloma Partners Management Co
0001178913-25-001828	197716	0001603837	028-16590			Ion Asset Management Ltd.
0000905148-25-001755	198197	0002032200	028-24326			Orion Resource Partners LP
0000902664-25-002421	198098	0002016939	028-24147			Evergreen Quality Fund GP, Ltd.
0001012975-25-000249	197728	0001586986	028-16049	000166102	801-79375	Electron Capital Partners, LLC
0000950123-25-005751	197966		028-17559			Flagship Pioneering Inc.
0001089355-25-000058	197607	0001305841	028-10968			Epoch Investment Partners, Inc.
0001089355-25-000058	197608	0001475770	028-13626			Cowen Investment Management LLC
0001089355-25-000058	197606	0001551017	028-24317			TD PRIVATE CLIENT WEALTH LLC
0001089355-25-000058	197605	0001999606	028-23436			TD Waterhouse Canada Inc.
0001089355-25-000058	197604	0001056053	028-05987			TD ASSET MANAGEMENT INC
0001012975-25-000248	197637	0001586986	028-16049	000166102	801-79375	Electron Capital Partners, LLC
0001172661-25-002378	197746	0001541901	028-15266	000160113	801-73723	Encompass Capital Advisors LLC
0000950123-25-005749	198055		028-02682			UBS AM, a distinct business unit of UBS Asset Management Americas LLC
0000950123-25-005748	197536		028-11416			Amundi
0001012975-25-000247	197937	0001586986	028-16049	000166102	801-79375	Electron Capital Partners, LLC
0001089355-25-000057	198145	0000947263	028-11527			TORONTO DOMINION BANK
0000929638-25-001916	197489		028-22122			Cantor Fitzgerald, L.P.
0001104659-25-049487	197554	0001265131	028-15359			Hilltop Holdings Inc.
0001172661-25-002368	197802	0001541901	028-15266	000160113	801-73723	Encompass Capital Advisors LLC
0000950123-25-005741	198032		028-17559			Flagship Pioneering Inc.
0000899140-25-000709	197585	0001127799	028-17038			Zurich Insurance Group Ltd/FI
0000929638-25-001915	197927		028-22122			Cantor Fitzgerald, L.P.
0001089355-25-000056	197803	0000947263	028-11527			TORONTO DOMINION BANK
0001104659-25-049486	197916	0001162870	028-14208			WARBURG PINCUS LLC
0000929638-25-001914	197861		028-22122			Cantor Fitzgerald, L.P.
0001172661-25-002363	198150	0001541901	028-15266	000160113	801-73723	Encompass Capital Advisors LLC
0001104659-25-049484	198035	0001265131	028-15359			Hilltop Holdings Inc.
0001089355-25-000055	197609	0000947263	028-11527			TORONTO DOMINION BANK
0000950123-25-005740	197951		028-17559			Flagship Pioneering Inc.
0000929638-25-001913	197888		028-18098	000159296	801-72852	Cantor Fitzgerald Investment Advisors L.P.
0000929638-25-001913	197889		028-21401	000106301	801-50835	Smith Group Asset Management, LLC
0001213900-25-044249	198066	0001593324	028-17117	000159042	801-80466	Penserra Capital Management LLC
0001213900-25-044249	198065	0001600064	028-19397	000164201	801-76857	Tidal Investments LLC
0001213900-25-044249	198069	0001332905	028-11714	000134249	801-63939	Curi RMB Capital, LLC
0001213900-25-044249	198067	0001566475	028-17754	000151559	801-70719	Cerity Partners LLC
0001213900-25-044249	198068	0001566728	028-15439	000150764	801-70333	Capital Wealth Planning, LLC
0001089355-25-000054	197778	0000947263	028-11527			TORONTO DOMINION BANK
0001089355-25-000053	198157	0000947263	028-11527			TORONTO DOMINION BANK
0001104659-25-049480	197701	0001265131	028-15359			Hilltop Holdings Inc.
0000950123-25-005739	197991		028-11416			Amundi
0001172661-25-002356	197734	0001055951	028-06774	000118608	801-61046	ORBIMED ADVISORS LLC
0000921895-25-001544	197569	0001867040	028-21274			Gimbel Daniel Scott
0000905148-25-001750	197891	0001054587	028-06663	000107913	801-56729	Sculptor Capital LP
0001089355-25-000052	198109	0000947263	028-11527			TORONTO DOMINION BANK
0001539497-25-001388	197946	0000921669	028-04333			ICAHN CARL C
0001172661-25-002354	198155	0001352924	028-15101	000161331	801-79576	Caledonia (Private) Investments Pty Ltd
0001104659-25-049472	198026	0001265131	028-15359			Hilltop Holdings Inc.
0001539497-25-001387	197992	0000921669	028-04333			ICAHN CARL C
0001012975-25-000244	197723	0001631543	028-17297	000157939	801-73682	Raine Capital LLC
0001539497-25-001386	197594	0000921669	028-04333			ICAHN CARL C
0001089355-25-000051	198059	0000947263	028-11527			TORONTO DOMINION BANK
0001879202-25-000027	198062	0001649339	028-17276	000167772	801-113529	Scion Asset Management, LLC
0001999371-25-006212	197559	0000860662	028-02616			ANGELO GORDON & CO., L.P.
0001426818-25-000002	197903	0001273087	028-10684			MILLENNIUM MANAGEMENT LLC
0001539497-25-001385	197482	0000921669	028-04333			ICAHN CARL C
0000921895-25-001543	198177	0001867040	028-21274			Gimbel Daniel Scott
0001539497-25-001384	197808	0000921669	028-04333			ICAHN CARL C
0001879202-25-000026	197621	0001649339	028-17276	000167772	801-113529	Scion Asset Management, LLC
0001539497-25-001383	198027	0000921669	028-04333			ICAHN CARL C
0001104659-25-049465	197588	0001009207	028-05396			D. E. Shaw & Co., Inc.
0001089355-25-000050	198054	0000947263	028-11527			TORONTO DOMINION BANK
0001539497-25-001382	197623	0000921669	028-04333			ICAHN CARL C
0000905148-25-001745	198187	0001054587	028-06663	000107913	801-56729	Sculptor Capital LP
0001999371-25-006211	197964	0001058470	028-07066			ICON ADVISERS INC/CO
0001756272-25-000006	197566					Enstar Group LTD
0001539497-25-001381	198028	0000921669	028-04333			ICAHN CARL C
0000950123-25-005736	197593		028-11416			Amundi
0001539497-25-001380	197535	0000921669	028-04333			ICAHN CARL C
0001172661-25-002347	197884	0001702490	028-18498			Deer Park Road Corp
0000905148-25-001743	197497	0001856405	028-21820	000291738	801-112410	SONA ASSET MANAGEMENT (US) LLC
0001363829-25-000094	197899					Cavello Bay Reinsurance LTD
0001104659-25-049453	198158	0001813845	028-24868	000298955	801-117544	BIOS Capital Management, LP
0001085146-25-003327	198021	0001692234	028-17598			Russell Investments Group, Ltd.
0001104659-25-049450	197926	0001009207	028-05396			D. E. Shaw & Co., Inc.
0001085146-25-003327	198020	0001637460	028-18778			Man Group plc
0001214659-25-007883	197697	0001232621	028-14822			TANG CAPITAL MANAGEMENT LLC
0001539497-25-001379	197800	0000921669	028-04333			ICAHN CARL C
0001085146-25-003325	197703	0001637460	028-18778			Man Group plc
0001085146-25-003325	197704	0001352261	028-11672	000138802	801-65571	GLG LLC
0000902664-25-002399	197481	0002017863	028-24178	000330656		Point72 (DIFC) Ltd
0000902664-25-002399	197475	0001949771	028-23094	000323525		Point72 Middle East FZE
0000902664-25-002399	197476	0001603465	028-16258	000292081		Cubist Systematic Strategies, LLC
0000902664-25-002399	197477	0001599822	028-16027	000292047		Point72 Hong Kong Ltd
0000902664-25-002399	197478	0001698051	028-17887	000292074		Point72 Europe (London) LLP
0000902664-25-002399	197479	0001666791	028-17282	000292069		Point72 Asia (Singapore) Pte. Ltd.
0000902664-25-002399	197480	0002006887	028-23927	000329574		Point72 Italy, S.r.l.
0000950123-25-005735	197866					Deer Management Co. LLC
0000950123-25-005734	198198		028-14321	000158120	801-74175	Coliseum Capital Management, LLC
0000950123-25-005730	197534					Deer Management Co. LLC
0000950123-25-005731	197740					Deer Management Co. LLC
0000950123-25-005733	197710		028-14321	000158120	801-74175	Coliseum Capital Management, LLC
0000950123-25-005726	197564					Deer Management Co. LLC
0000950123-25-005727	197469					Deer Management Co. LLC
0000950123-25-005729	197944					Deer Management Co. LLC
0000950123-25-005723	197795					Deer Management Co. LLC
0000950123-25-005721	197486		28-4545			Berkshire Hathaway Inc
0000950123-25-005720	197886		28-4545			Berkshire Hathaway Inc
0000950123-25-005724	197570					Deer Management Co. LLC
0000950123-25-005719	197600		28-4545			Berkshire Hathaway Inc
0000950123-25-005722	198195		28-4545			Berkshire Hathaway Inc
0000950123-25-005717	197893		28-4545			Berkshire Hathaway Inc
0000950123-25-005716	197988		28-4545			Berkshire Hathaway Inc
0000950123-25-005718	197595		28-4545			Berkshire Hathaway Inc
0000950123-25-005715	198201		28-4545			Berkshire Hathaway Inc
0000950123-25-005710	197596		28-4545			Berkshire Hathaway Inc
0000950123-25-005714	197764		28-4545			Berkshire Hathaway Inc
0000950123-25-005709	197941		28-4545			Berkshire Hathaway Inc
0000950123-25-005712	198146		28-4545			Berkshire Hathaway Inc
0000950123-25-005711	197974		28-4545			Berkshire Hathaway Inc
0000950123-25-005713	197807		28-4545			Berkshire Hathaway Inc
0001085146-25-003324	197872	0001637460	028-18778			Man Group plc
0001085146-25-003324	197873	0001289643	028-10979	000163016	801-78835	GLG Partners LP
0001085146-25-003322	197715	0001637460	028-18778			Man Group plc
0000919574-25-003252	197498	0001056831	028-06994	000107987	801-54831	FAIRHOLME CAPITAL MANAGEMENT LLC
0001085146-25-003321	197935	0001692234	028-17598			Russell Investments Group, Ltd.
0001273087-25-000021	197918	0001273087	028-10684			MILLENNIUM MANAGEMENT LLC
0000899140-25-000703	197987	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0001085146-25-003318	197875	0001527781	028-14533			Gallagher Fiduciary Advisors, LLC
0000719220-25-000033	197583					028-06460 S&T Bank
0001085146-25-003317	198105	0001527781	028-14533			Gallagher Fiduciary Advisors, LLC
0000899140-25-000702	197484	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0001172661-25-002339	197949	0001702490	028-18498			Deer Park Road Corp
0001104659-25-049440	197983	0001009207	028-05396			D. E. Shaw & Co., Inc.
0000919574-25-003251	197533	0001832568	028-21965	000316867	801-122819	RPD Fund Management LLC
0001172661-25-002337	197642	0001702490	028-18498			Deer Park Road Corp
0000899140-25-000700	197928	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0001172661-25-002334	197811	0001281446	028-11743	000158423	801-73834	GREAT POINT PARTNERS LLC
0001085146-25-003311	197598	0001167456	028-10114	000114626	801-60678	AQR Arbitrage LLC
0001172661-25-002332	197788	0001281446	028-11743	000158423	801-73834	GREAT POINT PARTNERS LLC
0001104659-25-049435	197571	0001009207	028-05396			D. E. Shaw & Co., Inc.
0000902664-25-002388	198151	0001029160	028-06420			SOROS FUND MANAGEMENT LLC
0000899140-25-000699	197738	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0001085146-25-003309	198178	0001167557	028-10120	000111883	801-55543	AQR CAPITAL MANAGEMENT LLC
0001085146-25-003309	198179	0001167456	028-10114	000114626	801-60678	AQR Arbitrage LLC
0000921895-25-001539	197620	0001517137	028-14564	000156943	801-72256	Starboard Value LP
0000905148-25-001732	197922	0002022949	028-24301			COMMON FUND FOR NONPROFIT ORGANIZATIONS
0000921895-25-001538	197801	0001517137	028-14564	000156943	801-72256	Starboard Value LP
0000921895-25-001537	197979	0001517137	028-14564	000156943	801-72256	Starboard Value LP
0001085146-25-003303	197547	0001478032	028-13630			Pharo Management, Inc.
0001085146-25-003302	197702	0001478032	028-13630			Pharo Management, Inc.
0000950123-25-005704	197540		028-11416			Amundi
0000921895-25-001535	197541	0001517137	028-14564	000156943	801-72256	Starboard Value LP
0001104659-25-049426	197639	0001009207	028-05396			D. E. Shaw & Co., Inc.
0000950123-25-005702	197645		028-11416			Amundi
0000921895-25-001534	197975	0001517137	028-14564	000156943	801-72256	Starboard Value LP
0001446114-25-000025	197700	0001446114	028-13214	000124674	801-61770	Ancora Advisors LLC
0001446114-25-000024	198103	0001446114	028-13214	000124674	801-61770	Ancora Advisors LLC
0000905148-25-001726	198162	0001250731	028-17941			CHAI TRUST CO LLC
0001172661-25-002323	197904	0001469877	028-16918	000149653	801-69968	NEXPOINT ASSET MANAGEMENT, L.P.
0000950123-25-005700	197854		028-13183	000148826	801-70860	Citadel Advisors LLC
0000905148-25-001725	197490	0001250731	028-17941			CHAI TRUST CO LLC
0001273087-25-000019	197999	0001745981	028-18889			WORLDQUANT MILLENNIUM ADVISORS LLC
0001418812-25-000015	197599	0001351069				ValueAct Capital Management, L.P.
0001214659-25-007856	197466	0001536239	028-14690			Tontine Asset Management, LLC
0001214659-25-007859	197758	0001056581	028-06950			GENDELL JEFFREY L
0001214659-25-007858	197950	0001056581	028-06950			GENDELL JEFFREY L
0001214659-25-007860	197961	0001056581	028-06950			GENDELL JEFFREY L
0001214659-25-007856	197467	0001491514	028-19509			Tontine Associates, LLC
0001214659-25-007856	197468	0001845441	028-20769			TONTINE CAPITAL ASSOCIATES, L.P.
0001641172-25-010860	198163	0001549230	028-16782	000163706	801-80018	BOOTHBAY FUND MANAGEMENT, LLC
0001641172-25-010860	198164	0002056052	028-25300	000177528	802-89175	Persistent Asset Partners Ltd
0001104659-25-049402	197797	0001423994	028-12856			Ridgeback Capital Investments L.P.
0000905148-25-001723	198174	0001512857	028-14379	000161292	802-74971	Brevan Howard Capital Management LP
0001172661-25-002320	197692	0001569532	028-15327			VISTA EQUITY PARTNERS MANAGEMENT, LLC
0000929638-25-001900	198203	0001959730	028-23083			Fund 1 Investments, LLC
0000950123-25-005697	197969		028-11416			Amundi
0001104659-25-049397	197487	0001423994	028-12856			Ridgeback Capital Investments L.P.
0000950123-25-005696	197863		028-11416			Amundi
0000905148-25-001722	198063	0001512857	028-14379	000161292	802-74971	Brevan Howard Capital Management LP
0001731593-25-000005	197871	0001086416	028-04329			SCOGGIN MANAGEMENT LP
0001172661-25-002318	198144	0001728850		000158272	801-74052	LSP Investment Advisors, LLC
0000929638-25-001898	197898	0001959730	028-23083			Fund 1 Investments, LLC
0001172661-25-002317	197644	0001453072	028-13284	000155058	801-71962	Alyeska Investment Group, L.P.
0000905148-25-001721	198100	0001512857	028-14379	000161292	802-74971	Brevan Howard Capital Management LP
0001172661-25-002310	197603	0001489933	028-14000	000157081	801-72946	DME Capital Management, LP
0000905148-25-001720	197631	0001512857	028-14379	000161292	802-74971	Brevan Howard Capital Management LP
0000950123-25-005692	197870		028-11416			Amundi
0000921895-25-001529	197855	0001056807	028-06800			BVF INC/IL
0001172661-25-002309	197625	0001489933	028-14000	000157081	801-72946	DME Capital Management, LP
0000950123-25-005690	197787		028-11416			Amundi
0001140361-25-019264	197785	0001697162	028-17913			Chescapmanager LLC
0000950123-25-005689	197971		028-11416			Amundi
0001085146-25-003292	198200	0000820027	028-00139			AMERIPRISE FINANCIAL INC
0001085146-25-003292	198199	0001692234	028-17598			Russell Investments Group, Ltd.
0000950123-25-005684	197641		028-21877			NASPERS LTD
0001213900-25-044136	197745	0001009258	028-05366			DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)
0000950123-25-005681	197956		028-11416			Amundi
0001214659-25-007843	198169	0001620220	028-16688	000172249	801-80255	Engineers Gate Manager LP
0001214659-25-007808	197972	0001339161	028-11775	000156889	801-73740	Fine Capital Partners, L.P.
0001214659-25-007809	197739	0001339161	028-11775	000156889	801-73740	Fine Capital Partners, L.P.
0000950123-25-005674	197495		028-22607 			GRAYHAWK INVESTMENT STRATEGIES INC.
0000950123-25-005671	197597		028-11416			Amundi
0000950123-25-005669	197806		028-11416			Amundi
0000950123-25-005668	198052		028-11416			Amundi
0001418812-25-000014	197865	0001418814	028-13172			ValueAct Holdings, L.P.
0000950123-25-005667	197883		028-11416			Amundi
0000950123-25-005664	198008		028-11416			Amundi
0000950123-25-005660	198064		028-11416			Amundi
0000950123-25-005659	197492		028-11416			Amundi
0000950123-25-005657	197890		028-11416			Amundi
0001172661-25-002287	197602	0002011872	028-24707	000318816		Advyzon Investment Management, LLC
0001607635-25-000001	197720	0001719165	028-18638			Capital Markets Trading UK LLP
0001607635-25-000001	197719	0001632813	028-16985			CMT Capital Markets Trading GmbH
0000899140-25-000692	198170	0001478735	028-14367	000152254	801-71110	TWO SIGMA ADVISERS, LP
0001599214-25-000003	197868	0001583977	028-15949	000167820	801-79513	Cormorant Asset Management, LP
0001496201-25-000006	197567	0001496201	028-15863	000312614	802-120694	SPHERA FUNDS MANAGEMENT LTD.
0000899140-25-000691	197528	0001478735	028-14367	000152254	801-71110	TWO SIGMA ADVISERS, LP
0000899140-25-000690	197917	0001478735	028-14367	000152254	801-71110	TWO SIGMA ADVISERS, LP
0000899140-25-000689	197997	0001478735	028-14367	000152254	801-71110	TWO SIGMA ADVISERS, LP
